"","sitecode","width_m","width_src","usgs_gagename"
"195","nwis_10133650",6.00456,"NWIS field measurements","nwis_10133650"
"196","nwis_10133800",5.24256,"NWIS field measurements","nwis_10133800"
"197","nwis_10133980",7.62,"NWIS field measurements","nwis_10133980"
"198","nwis_11044000",3.9624,"NWIS field measurements","nwis_11044000"
"199","nwis_11128500",5.05968,"NWIS field measurements","nwis_11128500"
"200","nwis_11273400",34.5948,"NWIS field measurements","nwis_11273400"
"201","nwis_11447650",184.0992,"NWIS field measurements","nwis_11447650"
"202","nwis_11462500",26.1366,"NWIS field measurements","nwis_11462500"
"203","nwis_11463980",31.0896,"NWIS field measurements","nwis_11463980"
"204","nwis_11467000",17.526,"NWIS field measurements","nwis_11467000"
"205","nwis_12100490",46.3296,"NWIS field measurements","nwis_12100490"
"206","nwis_12101100",17.9832,"NWIS field measurements","nwis_12101100"
"207","nwis_13173600",178.4604,"NWIS field measurements","nwis_13173600"
"208","nwis_13206400",2.5908,"NWIS field measurements","nwis_13206400"
"209","nwis_13213000",40.5384,"NWIS field measurements","nwis_13213000"
"210","nwis_14206950",6.2484,"NWIS field measurements","nwis_14206950"
"211","nwis_14211010",64.9224,"NWIS field measurements","nwis_14211010"
"212","nwis_385446094430700",5.9436,"NWIS field measurements","nwis_385446094430700"
"213","nwis_385608094380300",14.29512,"NWIS field measurements","nwis_385608094380300"
"214","WI_BEC",5.1816,"NWIS field measurements","nwis_05406457"
"215","WI_BRW",4.05384,"NWIS field measurements","nwis_05406469"
