"sitecode","width_src","usgs_gagename","width_m"
"nwis_05082500","NWIS field measurements","nwis_05082500",76.962
"nwis_05406457","NWIS field measurements","nwis_05406457",5.1816
"nwis_05406469","NWIS field measurements","nwis_05406469",4.1148
"nwis_05406479","NWIS field measurements","nwis_05406479",7.83336
"nwis_05406500","NWIS field measurements","nwis_05406500",10.14984
"nwis_05418400","NWIS field measurements","nwis_05418400",33.6804
"nwis_05420500","NWIS field measurements","nwis_05420500",487.68
"nwis_05435943","NWIS field measurements","nwis_05435943",5.9436
"nwis_05435950","NWIS field measurements","nwis_05435950",11.85672
"nwis_05446500","NWIS field measurements","nwis_05446500",133.5024
"nwis_05447500","NWIS field measurements","nwis_05447500",37.1856
"nwis_05451080","NWIS field measurements","nwis_05451080",2.5908
"nwis_05451210","NWIS field measurements","nwis_05451210",19.812
"nwis_05515500","NWIS field measurements","nwis_05515500",22.43328
"nwis_05518000","NWIS field measurements","nwis_05518000",59.1312
"nwis_05524500","NWIS field measurements","nwis_05524500",29.337
"nwis_05579630","NWIS field measurements","nwis_05579630",4.2672
"nwis_05595000","NWIS field measurements","nwis_05595000",92.0496
"nwis_05599490","NWIS field measurements","nwis_05599490",51.2064
"nwis_06336000","NWIS field measurements","nwis_06336000",31.3944
"nwis_06436760","NWIS field measurements","nwis_06436760",8.382
"nwis_06461500","NWIS field measurements","nwis_06461500",44.5008
"nwis_06465500","NWIS field measurements","nwis_06465500",207.8736
"nwis_06478522","NWIS field measurements","nwis_06478522",22.5552
"nwis_06670500","NWIS field measurements","nwis_06670500",18.45564
"nwis_06711565","NWIS field measurements","nwis_06711565",36.2712
"nwis_06795500","NWIS field measurements","nwis_06795500",6.4008
"nwis_06800500","NWIS field measurements","nwis_06800500",72.5424
"nwis_06805500","NWIS field measurements","nwis_06805500",341.376
"nwis_06818000","NWIS field measurements","nwis_06818000",240.792
"nwis_06892513","NWIS field measurements","nwis_06892513",10.48512
"nwis_06893300","NWIS field measurements","nwis_06893300",14.26464
"nwis_06893350","NWIS field measurements","nwis_06893350",10.24128
"nwis_06893620","NWIS field measurements","nwis_06893620",2.54508
"nwis_06893820","NWIS field measurements","nwis_06893820",6.21792
"nwis_06893890","NWIS field measurements","nwis_06893890",7.9248
"nwis_06893970","NWIS field measurements","nwis_06893970",3.3528
"nwis_06894000","NWIS field measurements","nwis_06894000",9.81456
"nwis_06934500","NWIS field measurements","nwis_06934500",405.384
"nwis_07048600","NWIS field measurements","nwis_07048600",29.8704
"nwis_07061270","NWIS field measurements","nwis_07061270",20.2692
"nwis_07061290","NWIS field measurements","nwis_07061290",13.2588
"nwis_07075250","NWIS field measurements","nwis_07075250",14.1732
"nwis_07075270","NWIS field measurements","nwis_07075270",26.0604
"nwis_07106000","NWIS field measurements","nwis_07106000",21.336
"nwis_07109500","NWIS field measurements","nwis_07109500",34.8996
"nwis_07143672","NWIS field measurements","nwis_07143672",14.3256
"nwis_07144100","NWIS field measurements","nwis_07144100",17.3736
"nwis_07164500","NWIS field measurements","nwis_07164500",89.0016
"nwis_07177500","NWIS field measurements","nwis_07177500",32.3088
"nwis_07178200","NWIS field measurements","nwis_07178200",31.0896
"nwis_071912213","NWIS field measurements","nwis_071912213",25.6032
"nwis_07191222","NWIS field measurements","nwis_07191222",10.4394
"nwis_07198000","NWIS field measurements","nwis_07198000",21.9456
"nwis_07239450","NWIS field measurements","nwis_07239450",13.4112
"nwis_07241000","NWIS field measurements","nwis_07241000",13.4112
"nwis_07241520","NWIS field measurements","nwis_07241520",23.65248
"nwis_07241550","NWIS field measurements","nwis_07241550",27.7368
"nwis_07263296","NWIS field measurements","nwis_07263296",21.12264
"nwis_072632966","NWIS field measurements","nwis_072632966",39.624
"nwis_07332620","NWIS field measurements","nwis_07332620",9.20496
"nwis_07332622","NWIS field measurements","nwis_07332622",13.67028
"nwis_07374000","NWIS field measurements","nwis_07374000",870.204
"nwis_07381600","NWIS field measurements","nwis_07381600",545.592
"nwis_08048000","NWIS field measurements","nwis_08048000",65.2272
"nwis_08049500","NWIS field measurements","nwis_08049500",21.21408
"nwis_08052700","NWIS field measurements","nwis_08052700",3.3528
"nwis_08052745","NWIS field measurements","nwis_08052745",10.75944
"nwis_08057000","NWIS field measurements","nwis_08057000",46.9392
"nwis_08057410","NWIS field measurements","nwis_08057410",58.3692
"nwis_08062500","NWIS field measurements","nwis_08062500",39.9288
"nwis_08065350","NWIS field measurements","nwis_08065350",73.7616
"nwis_08068000","NWIS field measurements","nwis_08068000",13.4874
"nwis_08068500","NWIS field measurements","nwis_08068500",16.94688
"nwis_08070200","NWIS field measurements","nwis_08070200",13.92936
"nwis_08155500","NWIS field measurements","nwis_08155500",28.16352
"nwis_08171290","NWIS field measurements","nwis_08171290",22.2504
"nwis_08180700","NWIS field measurements","nwis_08180700",8.5344
"nwis_08181500","NWIS field measurements","nwis_08181500",12.6492
"nwis_08181800","NWIS field measurements","nwis_08181800",13.92936
