#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# U.S. Geological Survey, National Water Information System",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Surface water measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Retrieved: 2018-12-11 20:47:55 EST     (sdww01),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Further descriptions of the columns and codes used can be found at:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#  USGS 02322500 SANTA FE RIVER NEAR FORT WHITE, FLA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,2322500,177,11/16/1943,,Yes,JAM,USGS,0.76,890,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,890,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,178,12/16/1943,,Yes,JAM,USGS,0.69,841,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,841,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,179,2/10/1944,,Yes,JAM,USGS,0.68,808,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,808,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,180,3/28/1944 11:00,EDT,Yes,JAM,USGS,1.3,1190,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1190,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,181,3/28/1944 12:00,EDT,Yes,JAM,USGS,1.31,1210,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1210,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,183,7/5/1944,,Yes,JAM,USGS,0.84,938,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,938,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,184,8/16/1944,,Yes,JAM,USGS,3.94,3050,Unspecified,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,3050,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,185,10/4/1944,,Yes,JCB,USGS,1.48,1490,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1490,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,186,11/16/1944,,Yes,JCB,USGS,2.35,2010,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,2010,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,187,12/20/1944,,Yes,JCB,USGS,1.32,1420,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1420,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,188,2/7/1945,,Yes,JCB,USGS,1.63,1620,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1620,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,189,3/21/1945,,Yes,JCB,USGS,1.14,1230,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1230,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,190,5/2/1945,,Yes,JCB,USGS,0.97,1060,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1060,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,191,6/13/1945,,Yes,JCB,USGS,0.85,917,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,917,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,192,7/28/1945,,Yes,KCB,USGS,1.38,1300,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1300,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
USGS,2322500,193,9/12/1945,,Yes,KCB,USGS,2.74,1940,Good,,,,MEAS,1,Imported Channel 1,UNSP,QSCMM,unkno,1940,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,
